Feb14-04:16:04
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
7401 | 0.25s | train acc: 1.000e+00 | val acc: 8.109e-01 | val graph: 5.360e-01 | test node: 8.190e-01 | test graph: 5.620e-01
7501 | 0.26s | train acc: 1.000e+00 | val acc: 8.182e-01 | val graph: 5.460e-01 | test node: 8.226e-01 | test graph: 5.620e-01
7601 | 0.25s | train acc: 1.000e+00 | val acc: 8.088e-01 | val graph: 5.440e-01 | test node: 8.120e-01 | test graph: 5.650e-01
7701 | 0.25s | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.520e-01 | test node: 8.169e-01 | test graph: 5.600e-01
7801 | 0.25s | train acc: 1.000e+00 | val acc: 8.186e-01 | val graph: 5.700e-01 | test node: 8.183e-01 | test graph: 5.670e-01
7901 | 0.25s | train acc: 1.000e+00 | val acc: 8.215e-01 | val graph: 5.580e-01 | test node: 8.175e-01 | test graph: 5.550e-01
8001 | 0.25s | train acc: 1.000e+00 | val acc: 8.084e-01 | val graph: 5.360e-01 | test node: 8.084e-01 | test graph: 5.430e-01
8101 | 0.26s | train acc: 1.000e+00 | val acc: 8.117e-01 | val graph: 5.380e-01 | test node: 8.149e-01 | test graph: 5.500e-01
8201 | 0.25s | train acc: 1.000e+00 | val acc: 8.154e-01 | val graph: 5.440e-01 | test node: 8.081e-01 | test graph: 5.430e-01
8301 | 0.25s | train acc: 1.000e+00 | val acc: 8.100e-01 | val graph: 5.600e-01 | test node: 8.200e-01 | test graph: 5.790e-01
8401 | 0.25s | train acc: 1.000e+00 | val acc: 8.170e-01 | val graph: 5.460e-01 | test node: 8.183e-01 | test graph: 5.620e-01
8501 | 0.25s | train acc: 1.000e+00 | val acc: 8.276e-01 | val graph: 5.680e-01 | test node: 8.234e-01 | test graph: 5.720e-01
8601 | 0.24s | train acc: 1.000e+00 | val acc: 8.158e-01 | val graph: 5.380e-01 | test node: 8.200e-01 | test graph: 5.600e-01
8701 | 0.25s | train acc: 1.000e+00 | val acc: 7.516e-01 | val graph: 4.940e-01 | test node: 7.515e-01 | test graph: 4.910e-01
8801 | 0.25s | train acc: 1.000e+00 | val acc: 8.186e-01 | val graph: 5.620e-01 | test node: 8.207e-01 | test graph: 5.730e-01
8901 | 0.25s | train acc: 1.000e+00 | val acc: 8.260e-01 | val graph: 5.740e-01 | test node: 8.217e-01 | test graph: 5.680e-01
9001 | 0.26s | train acc: 1.000e+00 | val acc: 8.186e-01 | val graph: 5.620e-01 | test node: 8.147e-01 | test graph: 5.560e-01
