Feb13-05:33:12
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.0001 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
11001 | 0.84s | train acc: 2.376e-01 | val acc: 2.632e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
11201 | 0.84s | train acc: 2.417e-01 | val acc: 2.632e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
11401 | 0.84s | train acc: 2.087e-01 | val acc: 2.082e-01 | val graph: 1.320e-01 | test node: 1.826e-01 | test graph: 1.050e-01
11601 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
11801 | 0.84s | train acc: 2.397e-01 | val acc: 2.638e-01 | val graph: 1.120e-01 | test node: 2.441e-01 | test graph: 8.900e-02
12001 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
12201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
12401 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
12601 | 0.84s | train acc: 2.562e-01 | val acc: 2.638e-01 | val graph: 1.120e-01 | test node: 2.441e-01 | test graph: 8.900e-02
12801 | 0.84s | train acc: 1.880e-01 | val acc: 1.690e-01 | val graph: 1.080e-01 | test node: 1.631e-01 | test graph: 1.070e-01
13001 | 0.84s | train acc: 4.442e-01 | val acc: 4.539e-01 | val graph: 2.340e-01 | test node: 4.100e-01 | test graph: 1.900e-01
13201 | 0.84s | train acc: 3.161e-01 | val acc: 2.797e-01 | val graph: 1.260e-01 | test node: 2.625e-01 | test graph: 9.800e-02
13401 | 0.84s | train acc: 3.223e-01 | val acc: 2.717e-01 | val graph: 1.480e-01 | test node: 2.596e-01 | test graph: 1.200e-01
13601 | 0.84s | train acc: 3.678e-01 | val acc: 3.146e-01 | val graph: 1.900e-01 | test node: 2.813e-01 | test graph: 1.730e-01
13801 | 0.84s | train acc: 2.913e-01 | val acc: 2.474e-01 | val graph: 1.440e-01 | test node: 2.142e-01 | test graph: 1.130e-01
14001 | 0.86s | train acc: 4.360e-01 | val acc: 4.062e-01 | val graph: 2.140e-01 | test node: 3.773e-01 | test graph: 1.730e-01
14201 | 0.84s | train acc: 4.421e-01 | val acc: 4.518e-01 | val graph: 2.340e-01 | test node: 4.069e-01 | test graph: 1.880e-01
14401 | 0.84s | train acc: 4.380e-01 | val acc: 4.476e-01 | val graph: 2.380e-01 | test node: 4.050e-01 | test graph: 1.880e-01
14601 | 0.84s | train acc: 4.236e-01 | val acc: 4.243e-01 | val graph: 2.180e-01 | test node: 3.728e-01 | test graph: 1.710e-01
14801 | 0.84s | train acc: 4.132e-01 | val acc: 3.957e-01 | val graph: 1.960e-01 | test node: 3.472e-01 | test graph: 1.480e-01
15001 | 0.84s | train acc: 4.153e-01 | val acc: 3.951e-01 | val graph: 1.920e-01 | test node: 3.478e-01 | test graph: 1.490e-01
15201 | 0.85s | train acc: 4.318e-01 | val acc: 4.349e-01 | val graph: 2.300e-01 | test node: 3.897e-01 | test graph: 1.780e-01
15401 | 0.84s | train acc: 4.132e-01 | val acc: 3.962e-01 | val graph: 1.940e-01 | test node: 3.467e-01 | test graph: 1.490e-01
15601 | 0.84s | train acc: 4.298e-01 | val acc: 4.370e-01 | val graph: 2.300e-01 | test node: 3.926e-01 | test graph: 1.790e-01
15801 | 0.84s | train acc: 4.401e-01 | val acc: 4.301e-01 | val graph: 2.220e-01 | test node: 3.931e-01 | test graph: 1.830e-01
16001 | 0.84s | train acc: 4.421e-01 | val acc: 4.513e-01 | val graph: 2.380e-01 | test node: 4.092e-01 | test graph: 1.920e-01
16201 | 0.84s | train acc: 4.318e-01 | val acc: 4.380e-01 | val graph: 2.300e-01 | test node: 3.910e-01 | test graph: 1.770e-01
