Feb14-04:04:31
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=True diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
6501 | 0.45s | train acc: 1.000e+00 | val acc: 7.895e-01 | val graph: 4.780e-01 | test node: 7.528e-01 | test graph: 4.270e-01
6601 | 0.45s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.780e-01 | test node: 7.642e-01 | test graph: 4.420e-01
6701 | 0.45s | train acc: 1.000e+00 | val acc: 7.895e-01 | val graph: 4.620e-01 | test node: 7.553e-01 | test graph: 4.450e-01
6801 | 0.45s | train acc: 1.000e+00 | val acc: 7.888e-01 | val graph: 4.740e-01 | test node: 7.517e-01 | test graph: 4.320e-01
6901 | 0.45s | train acc: 1.000e+00 | val acc: 7.928e-01 | val graph: 4.800e-01 | test node: 7.620e-01 | test graph: 4.460e-01
7001 | 0.45s | train acc: 1.000e+00 | val acc: 7.836e-01 | val graph: 4.820e-01 | test node: 7.633e-01 | test graph: 4.490e-01
7101 | 0.45s | train acc: 1.000e+00 | val acc: 7.913e-01 | val graph: 4.700e-01 | test node: 7.533e-01 | test graph: 4.370e-01
7201 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.720e-01 | test node: 7.546e-01 | test graph: 4.330e-01
7301 | 0.45s | train acc: 1.000e+00 | val acc: 7.902e-01 | val graph: 4.700e-01 | test node: 7.555e-01 | test graph: 4.310e-01
7401 | 0.46s | train acc: 1.000e+00 | val acc: 7.925e-01 | val graph: 4.780e-01 | test node: 7.542e-01 | test graph: 4.330e-01
7501 | 0.44s | train acc: 1.000e+00 | val acc: 7.880e-01 | val graph: 4.640e-01 | test node: 7.521e-01 | test graph: 4.250e-01
7601 | 0.45s | train acc: 1.000e+00 | val acc: 7.873e-01 | val graph: 4.640e-01 | test node: 7.508e-01 | test graph: 4.370e-01
7701 | 0.46s | train acc: 1.000e+00 | val acc: 7.906e-01 | val graph: 4.680e-01 | test node: 7.544e-01 | test graph: 4.320e-01
7801 | 0.44s | train acc: 1.000e+00 | val acc: 7.895e-01 | val graph: 4.580e-01 | test node: 7.505e-01 | test graph: 4.190e-01
7901 | 0.44s | train acc: 1.000e+00 | val acc: 7.869e-01 | val graph: 4.660e-01 | test node: 7.505e-01 | test graph: 4.350e-01
8001 | 0.44s | train acc: 1.000e+00 | val acc: 7.851e-01 | val graph: 4.640e-01 | test node: 7.546e-01 | test graph: 4.430e-01
8101 | 0.45s | train acc: 1.000e+00 | val acc: 7.873e-01 | val graph: 4.760e-01 | test node: 7.571e-01 | test graph: 4.430e-01
8201 | 0.44s | train acc: 1.000e+00 | val acc: 7.895e-01 | val graph: 4.700e-01 | test node: 7.548e-01 | test graph: 4.370e-01
8301 | 0.44s | train acc: 1.000e+00 | val acc: 7.958e-01 | val graph: 4.880e-01 | test node: 7.675e-01 | test graph: 4.590e-01
8401 | 0.45s | train acc: 1.000e+00 | val acc: 7.936e-01 | val graph: 4.740e-01 | test node: 7.565e-01 | test graph: 4.290e-01
8501 | 0.44s | train acc: 1.000e+00 | val acc: 7.917e-01 | val graph: 4.700e-01 | test node: 7.613e-01 | test graph: 4.360e-01
8601 | 0.44s | train acc: 1.000e+00 | val acc: 7.817e-01 | val graph: 4.500e-01 | test node: 7.512e-01 | test graph: 4.250e-01
8701 | 0.44s | train acc: 1.000e+00 | val acc: 7.817e-01 | val graph: 4.500e-01 | test node: 7.443e-01 | test graph: 4.090e-01
8801 | 0.45s | train acc: 1.000e+00 | val acc: 7.836e-01 | val graph: 4.520e-01 | test node: 7.468e-01 | test graph: 4.220e-01
8901 | 0.45s | train acc: 1.000e+00 | val acc: 7.880e-01 | val graph: 4.640e-01 | test node: 7.603e-01 | test graph: 4.510e-01
9001 | 0.44s | train acc: 1.000e+00 | val acc: 7.814e-01 | val graph: 4.440e-01 | test node: 7.464e-01 | test graph: 4.080e-01
9101 | 0.45s | train acc: 1.000e+00 | val acc: 7.721e-01 | val graph: 4.280e-01 | test node: 7.400e-01 | test graph: 3.940e-01
9201 | 0.44s | train acc: 1.000e+00 | val acc: 7.751e-01 | val graph: 4.400e-01 | test node: 7.425e-01 | test graph: 4.050e-01
9301 | 0.45s | train acc: 1.000e+00 | val acc: 7.814e-01 | val graph: 4.560e-01 | test node: 7.512e-01 | test graph: 4.320e-01
9401 | 0.46s | train acc: 1.000e+00 | val acc: 7.873e-01 | val graph: 5.100e-01 | test node: 7.670e-01 | test graph: 4.880e-01
9501 | 0.45s | train acc: 1.000e+00 | val acc: 7.799e-01 | val graph: 4.840e-01 | test node: 7.464e-01 | test graph: 4.800e-01
