Feb14-05:10:39
----------------------------------------------------------------------------------------------------
[citeseer]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
8801 | 1.49s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.500e-01
8901 | 1.45s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.490e-01
9001 | 1.79s | train acc: 9.583e-01 | val acc: 7.420e-01 | test acc: 7.480e-01
9101 | 1.44s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.500e-01
9201 | 1.42s | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.480e-01
9301 | 1.38s | train acc: 9.583e-01 | val acc: 7.420e-01 | test acc: 7.430e-01
9401 | 1.40s | train acc: 9.583e-01 | val acc: 7.320e-01 | test acc: 7.430e-01
9501 | 1.39s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.490e-01
9601 | 1.41s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.420e-01
9701 | 1.43s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.570e-01
9801 | 1.48s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.550e-01
9901 | 1.42s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.490e-01
10001 | 1.41s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.500e-01
10101 | 1.44s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.530e-01
10201 | 1.51s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.490e-01
10301 | 1.57s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.430e-01
10401 | 1.45s | train acc: 9.667e-01 | val acc: 7.440e-01 | test acc: 7.560e-01
10501 | 1.57s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.380e-01
10601 | 1.54s | train acc: 9.583e-01 | val acc: 7.400e-01 | test acc: 7.500e-01
10701 | 1.43s | train acc: 9.667e-01 | val acc: 7.400e-01 | test acc: 7.540e-01
10801 | 1.49s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.530e-01
10901 | 1.54s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.510e-01
11001 | 1.48s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.450e-01
11101 | 1.54s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.520e-01
11201 | 1.41s | train acc: 9.500e-01 | val acc: 7.380e-01 | test acc: 7.470e-01
11301 | 1.49s | train acc: 9.667e-01 | val acc: 7.400e-01 | test acc: 7.570e-01
11401 | 1.39s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.520e-01
11501 | 1.47s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.550e-01
11601 | 1.45s | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.480e-01
11701 | 1.56s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.490e-01
11801 | 1.41s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.470e-01
11901 | 1.47s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.490e-01
12001 | 1.41s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.520e-01
12101 | 1.48s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.510e-01
12201 | 1.45s | train acc: 9.667e-01 | val acc: 7.300e-01 | test acc: 7.430e-01
12301 | 1.41s | train acc: 9.667e-01 | val acc: 7.440e-01 | test acc: 7.490e-01
12401 | 1.50s | train acc: 9.583e-01 | val acc: 7.360e-01 | test acc: 7.520e-01
12501 | 1.43s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.490e-01
12601 | 1.39s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.480e-01
12701 | 1.45s | train acc: 9.833e-01 | val acc: 7.340e-01 | test acc: 7.460e-01
12801 | 1.55s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.520e-01
12901 | 1.52s | train acc: 9.833e-01 | val acc: 7.340e-01 | test acc: 7.530e-01
13001 | 1.44s | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.590e-01
13101 | 1.43s | train acc: 9.583e-01 | val acc: 7.340e-01 | test acc: 7.570e-01
13201 | 1.45s | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.540e-01
13301 | 1.44s | train acc: 9.667e-01 | val acc: 7.460e-01 | test acc: 7.470e-01
13401 | 1.38s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.570e-01
13501 | 1.43s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.480e-01
13601 | 1.59s | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.490e-01
13701 | 1.57s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.450e-01
13801 | 1.64s | train acc: 9.667e-01 | val acc: 7.420e-01 | test acc: 7.540e-01
13901 | 1.56s | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.580e-01
14001 | 1.39s | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.510e-01
14101 | 1.77s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.550e-01
14201 | 1.42s | train acc: 9.583e-01 | val acc: 7.320e-01 | test acc: 7.490e-01
14301 | 1.47s | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.490e-01
14401 | 1.39s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.610e-01
14501 | 1.41s | train acc: 9.750e-01 | val acc: 7.460e-01 | test acc: 7.540e-01
14601 | 1.48s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.560e-01
14701 | 1.48s | train acc: 9.833e-01 | val acc: 7.460e-01 | test acc: 7.550e-01
